material_type,moisture_content,contamination_level,combustibility,calorific_value,rdf_score,rdf_suitable,rdf_grade
metal,4.31,1.69,0.29,0.01,0.3231,0,Unsuitable
glass,4.13,1.35,0.0,0.0,0.4239,0,Low
glass,0.86,1.84,0.0,0.0,0.3767,0,Low
organic,77.06,7.21,5.07,3.27,0.1937,0,Unsuitable
glass,1.53,1.29,0.0,0.0,0.431,0,Low
metal,2.2,0.64,0.92,0.49,0.4675,1,Low
organic,48.78,6.34,5.5,5.5,0.3401,0,Unsuitable
paper,6.0,1.14,9.53,15.49,0.7611,1,High
metal,4.65,0.99,0.83,0.45,0.3045,0,Unsuitable
paper,27.36,1.38,8.98,13.35,0.676,1,Medium
metal,0.31,0.01,0.32,0.29,0.4932,1,Low
paper,12.54,4.96,9.82,13.5,0.5696,1,Medium
metal,3.67,1.1,0.75,0.06,0.3815,0,Low
metal,3.58,1.88,0.84,0.02,0.4256,0,Low
organic,47.68,3.03,4.02,5.64,0.3442,0,Unsuitable
cardboard,12.7,0.01,9.02,15.16,0.657,1,Medium
paper,18.26,4.47,8.72,15.43,0.5614,1,Medium
cardboard,7.45,2.7,9.64,17.92,0.6881,1,Medium
paper,23.83,2.71,7.77,13.69,0.5465,1,Medium
plastic,4.59,1.02,8.04,30.83,0.8461,1,High
cardboard,6.46,1.8,7.74,17.89,0.6998,1,Medium
cardboard,13.09,1.79,8.13,15.11,0.638,1,Medium
cardboard,7.05,2.24,7.3,15.31,0.7258,1,High
cardboard,13.85,0.55,7.01,15.58,0.699,1,Medium
organic,76.62,5.84,3.62,6.56,0.2166,0,Unsuitable
glass,0.92,0.32,0.0,0.0,0.4307,0,Low
organic,52.24,4.83,3.84,6.27,0.3106,0,Unsuitable
paper,10.04,0.51,9.47,14.92,0.7243,1,High
plastic,8.04,4.51,9.75,39.63,0.8043,1,High
paper,15.67,0.97,8.95,15.34,0.7009,1,High
organic,54.74,3.35,3.31,7.35,0.3398,0,Unsuitable
organic,59.62,9.69,5.5,7.13,0.3154,0,Unsuitable
plastic,7.56,3.46,9.44,32.84,0.7634,1,High
plastic,9.58,1.82,9.97,36.05,0.7835,1,High
glass,3.92,1.66,0.0,0.0,0.3495,0,Unsuitable
cardboard,13.97,3.45,9.0,17.29,0.6274,1,Medium
paper,11.04,1.31,7.28,15.22,0.5636,1,Medium
organic,69.04,5.35,2.05,6.16,0.365,0,Low
organic,51.27,5.98,3.0,4.73,0.2718,0,Unsuitable
paper,13.63,1.98,7.12,16.67,0.6656,1,Medium
glass,0.43,1.9,0.0,0.0,0.3996,0,Low
paper,8.66,3.01,9.76,14.75,0.5877,1,Medium
metal,3.71,0.74,0.16,0.18,0.4472,0,Low
glass,3.48,2.0,0.0,0.0,0.3635,0,Low
glass,4.34,1.75,0.0,0.0,0.3026,0,Unsuitable
cardboard,19.97,2.66,7.61,17.74,0.6239,1,Medium
metal,3.25,2.71,0.93,0.3,0.3793,0,Low
metal,1.82,2.46,0.64,0.04,0.4252,0,Low
glass,4.42,2.86,0.0,0.0,0.4202,0,Low
organic,52.63,4.02,5.99,3.15,0.4017,0,Low
cardboard,18.64,1.02,9.16,15.65,0.7476,1,High
metal,1.1,2.09,0.78,0.09,0.3468,0,Unsuitable
cardboard,6.72,0.76,8.37,17.79,0.6672,1,Medium
glass,1.94,2.94,0.0,0.0,0.3476,0,Unsuitable
paper,13.14,3.44,7.12,15.73,0.51,1,Medium
paper,14.61,0.73,8.66,15.92,0.6077,1,Medium
cardboard,9.53,3.27,7.8,17.32,0.5954,1,Medium
cardboard,8.77,2.91,8.41,15.09,0.6025,1,Medium
plastic,3.53,2.31,8.98,42.57,0.8941,1,High
cardboard,23.65,2.58,9.85,17.45,0.7037,1,High
cardboard,12.15,1.77,8.97,16.28,0.7475,1,High
metal,0.46,2.49,0.2,0.47,0.3976,0,Low
cardboard,21.24,3.27,9.22,17.88,0.6512,1,Medium
cardboard,21.53,1.41,8.61,16.34,0.6522,1,Medium
cardboard,19.95,0.7,9.79,16.59,0.7152,1,High
metal,3.23,0.58,0.06,0.34,0.3793,0,Low
cardboard,19.8,0.22,9.43,17.39,0.7146,1,High
cardboard,15.37,0.39,8.9,15.19,0.6284,1,Medium
glass,3.41,0.38,0.0,0.0,0.4812,1,Low
paper,29.97,0.13,7.0,14.4,0.5065,1,Medium
cardboard,23.25,3.52,7.43,16.24,0.6752,1,Medium
organic,52.5,7.64,2.95,4.62,0.3179,0,Unsuitable
plastic,9.64,1.84,8.05,34.08,0.7721,1,High
paper,17.67,0.56,8.88,16.5,0.756,1,High
cardboard,13.0,3.14,8.77,15.3,0.605,1,Medium
paper,16.7,1.64,7.33,16.92,0.6273,1,Medium
plastic,1.46,3.42,8.89,33.99,0.7815,1,High
paper,21.84,1.41,9.75,14.23,0.7155,1,High
glass,4.21,1.56,0.0,0.0,0.406,0,Low
plastic,2.98,3.64,8.74,30.02,0.7168,1,High
metal,2.99,1.8,0.55,0.15,0.4848,1,Low
metal,3.11,2.01,0.45,0.14,0.3497,0,Unsuitable
paper,9.4,3.31,9.64,14.21,0.6239,1,Medium
plastic,6.7,0.9,9.86,35.82,0.8055,1,High
paper,28.32,1.24,8.99,13.62,0.5907,1,Medium
paper,26.98,0.74,7.06,15.0,0.5397,1,Medium
organic,45.13,9.88,4.71,7.25,0.2591,0,Unsuitable
paper,22.46,1.92,7.97,15.87,0.7095,1,High
plastic,5.69,1.77,8.98,39.82,0.9106,1,High
organic,71.65,7.09,2.04,5.85,0.1625,0,Unsuitable
glass,2.07,1.72,0.0,0.0,0.4553,1,Low
organic,75.89,9.37,4.19,5.78,0.1667,0,Unsuitable
plastic,4.29,4.25,8.09,41.37,0.8617,1,High
metal,3.26,1.88,0.23,0.22,0.4482,0,Low
organic,42.75,6.1,3.25,6.21,0.1889,0,Unsuitable
metal,0.05,1.82,0.73,0.38,0.401,0,Low
metal,2.11,0.54,0.42,0.04,0.3868,0,Low
paper,21.72,1.31,9.13,13.19,0.5777,1,Medium
paper,24.92,3.92,8.13,15.49,0.6393,1,Medium
plastic,5.8,0.49,8.87,32.92,0.8537,1,High
cardboard,16.82,1.44,7.87,15.61,0.6044,1,Medium
plastic,7.99,0.8,9.49,36.7,0.889,1,High
paper,8.25,1.05,9.09,14.03,0.7,1,High
metal,3.29,2.5,0.62,0.43,0.4336,0,Low
metal,2.58,2.71,0.16,0.29,0.39,0,Low
metal,1.85,2.6,0.37,0.09,0.35,0,Low
organic,40.61,3.49,2.78,6.85,0.3692,0,Low
plastic,5.46,0.63,9.07,43.69,1.0,1,High
paper,27.52,4.27,7.16,16.29,0.6129,1,Medium
cardboard,6.27,3.03,8.61,16.24,0.6483,1,Medium
plastic,0.58,3.7,9.54,38.81,0.8367,1,High
organic,67.44,3.73,2.79,7.13,0.3499,0,Unsuitable
cardboard,7.01,3.05,7.19,15.21,0.6172,1,Medium
cardboard,21.01,3.53,8.95,15.97,0.634,1,Medium
paper,11.89,4.43,9.04,16.58,0.6146,1,Medium
paper,28.81,3.06,9.0,16.66,0.6011,1,Medium
paper,21.01,3.94,9.69,15.72,0.6651,1,Medium
glass,0.92,2.86,0.0,0.0,0.3704,0,Low
glass,3.8,2.26,0.0,0.0,0.4024,0,Low
plastic,4.93,1.44,8.11,31.28,0.8261,1,High
plastic,9.32,2.82,8.83,35.73,0.7131,1,High
glass,1.76,2.24,0.0,0.0,0.2822,0,Unsuitable
organic,48.94,3.26,4.83,5.74,0.2791,0,Unsuitable
metal,0.44,2.99,0.99,0.23,0.3348,0,Unsuitable
metal,3.69,2.64,0.81,0.41,0.444,0,Low
paper,25.5,3.45,7.4,13.46,0.535,1,Medium
cardboard,15.39,3.63,8.98,16.19,0.6464,1,Medium
metal,3.03,2.28,0.56,0.25,0.3758,0,Low
organic,73.21,3.44,5.02,5.57,0.2788,0,Unsuitable
glass,3.4,2.15,0.0,0.0,0.4389,0,Low
plastic,3.51,2.46,9.39,43.53,0.8222,1,High
paper,9.35,1.83,7.48,15.75,0.744,1,High
plastic,7.92,4.03,8.6,35.33,0.7979,1,High
metal,2.75,0.29,0.87,0.26,0.5123,1,Medium
cardboard,12.54,1.33,7.81,16.7,0.689,1,Medium
paper,27.23,4.71,7.66,13.4,0.545,1,Medium
glass,4.32,0.07,0.0,0.0,0.4869,1,Low
organic,63.26,6.6,4.22,4.26,0.3962,0,Low
metal,3.23,2.2,0.67,0.17,0.3438,0,Unsuitable
cardboard,19.31,0.51,7.59,16.91,0.643,1,Medium
metal,0.77,0.5,0.48,0.3,0.4878,1,Low
cardboard,19.25,1.12,7.93,15.67,0.6887,1,Medium
glass,2.46,0.13,0.0,0.0,0.456,1,Low
organic,43.39,9.77,4.35,5.59,0.2063,0,Unsuitable
metal,3.89,0.35,0.84,0.26,0.4199,0,Low
cardboard,21.66,0.11,7.42,17.39,0.7434,1,High
paper,20.89,3.12,7.88,13.53,0.6384,1,Medium
organic,44.19,6.7,3.09,4.32,0.338,0,Unsuitable
metal,3.89,2.61,0.29,0.23,0.3906,0,Low
glass,3.73,0.91,0.0,0.0,0.4889,1,Low
glass,4.39,0.14,0.0,0.0,0.4531,1,Low
glass,1.25,0.8,0.0,0.0,0.4506,1,Low
metal,4.18,2.08,0.59,0.07,0.389,0,Low
metal,0.19,0.79,0.06,0.33,0.5319,1,Medium
glass,1.74,1.37,0.0,0.0,0.4309,0,Low
metal,3.21,1.64,0.08,0.33,0.3448,0,Unsuitable
organic,46.22,6.48,3.24,6.47,0.4164,0,Low
cardboard,20.46,1.15,8.86,17.4,0.6829,1,Medium
plastic,5.35,5.97,9.94,33.54,0.766,1,High
cardboard,11.9,0.64,9.0,16.5,0.7295,1,High
paper,13.41,3.34,8.1,13.17,0.6017,1,Medium
glass,4.75,1.45,0.0,0.0,0.3641,0,Low
plastic,5.72,2.26,9.16,43.05,0.9577,1,High
organic,72.75,6.19,2.48,5.85,0.217,0,Unsuitable
metal,2.49,1.97,0.85,0.39,0.5238,1,Medium
cardboard,20.2,2.81,7.03,16.88,0.5357,1,Medium
glass,0.78,2.47,0.0,0.0,0.4548,1,Low
cardboard,22.87,0.53,9.64,17.52,0.7716,1,High
glass,0.58,2.77,0.0,0.0,0.478,1,Low
cardboard,7.49,0.08,9.98,17.63,0.7479,1,High
paper,10.5,2.13,8.36,13.02,0.6245,1,Medium
paper,29.92,2.64,8.16,14.57,0.6637,1,Medium
paper,17.55,2.16,8.64,16.4,0.7306,1,High
paper,5.69,0.19,7.4,15.28,0.7084,1,High
cardboard,17.7,1.61,7.46,16.2,0.7204,1,High
organic,74.8,6.41,2.9,4.44,0.1749,0,Unsuitable
plastic,0.5,0.08,8.37,42.97,0.929,1,High
organic,65.03,5.5,2.27,7.28,0.2758,0,Unsuitable
paper,19.32,0.42,7.29,16.2,0.5114,1,Medium
cardboard,9.83,1.39,9.19,15.2,0.7432,1,High
cardboard,17.14,3.89,8.12,15.2,0.6181,1,Medium
metal,3.19,0.42,0.55,0.1,0.371,0,Low
paper,15.74,4.83,9.94,13.52,0.7012,1,High
organic,64.01,3.59,3.53,4.31,0.3578,0,Low
metal,3.81,1.16,0.13,0.43,0.421,0,Low
plastic,0.56,2.19,9.37,35.47,0.8243,1,High
paper,11.12,0.03,8.6,13.47,0.7177,1,High
paper,21.03,3.63,7.79,14.32,0.4703,1,Low
paper,9.76,0.92,8.34,13.76,0.6837,1,Medium
organic,43.84,7.48,4.45,6.25,0.2973,0,Unsuitable
glass,4.59,2.2,0.0,0.0,0.3206,0,Unsuitable
paper,12.08,2.11,7.29,14.81,0.6666,1,Medium
paper,28.29,3.45,8.69,14.36,0.6289,1,Medium
cardboard,22.83,2.61,8.81,16.38,0.5621,1,Medium
cardboard,24.62,1.7,8.18,16.28,0.6693,1,Medium
glass,4.95,2.12,0.0,0.0,0.4116,0,Low
cardboard,15.56,3.25,8.98,15.6,0.6726,1,Medium
cardboard,19.39,1.05,8.87,16.83,0.7127,1,High
paper,9.87,2.43,7.13,14.66,0.5881,1,Medium
cardboard,7.97,1.84,9.97,16.52,0.7456,1,High
paper,21.93,1.98,7.87,13.13,0.5556,1,Medium
cardboard,5.65,3.0,8.15,16.8,0.7452,1,High
paper,18.33,3.48,7.59,14.75,0.5329,1,Medium
cardboard,9.32,2.26,7.44,16.53,0.5206,1,Medium
organic,52.46,6.17,3.73,7.54,0.1847,0,Unsuitable
plastic,8.18,1.35,8.7,31.2,0.8477,1,High
glass,4.19,1.7,0.0,0.0,0.3862,0,Low
glass,3.96,0.5,0.0,0.0,0.3855,0,Low
plastic,3.79,5.0,8.41,36.87,0.874,1,High
metal,4.56,2.76,0.65,0.06,0.4592,1,Low
glass,4.42,0.42,0.0,0.0,0.4498,0,Low
paper,25.96,0.37,9.4,13.15,0.6277,1,Medium
glass,1.11,1.78,0.0,0.0,0.3383,0,Unsuitable
plastic,2.1,3.94,9.5,30.95,0.7796,1,High
glass,1.95,0.26,0.0,0.0,0.4377,0,Low
paper,29.21,1.67,9.67,15.88,0.7233,1,High
organic,79.64,3.92,5.18,7.02,0.2541,0,Unsuitable
organic,51.15,9.76,2.82,5.5,0.1783,0,Unsuitable
metal,3.61,0.27,0.69,0.42,0.5552,1,Medium
cardboard,19.19,0.63,9.54,17.86,0.7184,1,High
cardboard,15.12,2.13,9.12,16.47,0.7014,1,High
glass,1.15,1.14,0.0,0.0,0.3313,0,Unsuitable
plastic,8.47,3.47,8.81,34.0,0.8059,1,High
paper,28.94,2.55,8.41,15.99,0.6003,1,Medium
paper,13.42,0.75,9.14,16.49,0.7127,1,High
plastic,8.81,2.71,8.57,40.21,0.8883,1,High
plastic,4.95,4.13,9.55,44.71,0.876,1,High
glass,2.17,0.82,0.0,0.0,0.3894,0,Low
cardboard,14.44,1.39,8.92,16.56,0.6782,1,Medium
metal,4.35,1.08,0.43,0.1,0.3932,0,Low
cardboard,22.62,0.21,9.92,17.11,0.7142,1,High
glass,1.02,0.89,0.0,0.0,0.4742,1,Low
metal,4.36,1.98,0.75,0.09,0.4138,0,Low
glass,1.38,0.39,0.0,0.0,0.4317,0,Low
metal,1.59,0.4,0.6,0.38,0.44,0,Low
metal,0.78,1.67,0.81,0.08,0.4878,1,Low
cardboard,15.49,0.78,9.17,17.89,0.6629,1,Medium
cardboard,17.98,0.85,7.05,17.28,0.6853,1,Medium
plastic,5.34,0.94,8.9,33.25,0.846,1,High
organic,67.64,5.39,4.11,6.35,0.2453,0,Unsuitable
paper,5.56,0.57,8.18,14.87,0.694,1,Medium
cardboard,13.22,1.77,7.33,17.75,0.81,1,High
metal,2.53,0.94,0.85,0.29,0.3347,0,Unsuitable
plastic,9.11,5.03,9.63,33.61,0.7833,1,High
paper,16.72,3.42,9.28,14.18,0.5956,1,Medium
glass,2.45,0.82,0.0,0.0,0.3323,0,Unsuitable
cardboard,15.21,2.85,7.67,17.22,0.5941,1,Medium
glass,1.33,1.67,0.0,0.0,0.3316,0,Unsuitable
metal,4.33,1.2,0.61,0.5,0.4566,1,Low
organic,44.6,3.32,5.16,5.12,0.4745,1,Low
plastic,7.57,2.79,9.74,41.76,0.8144,1,High
plastic,8.89,1.53,9.32,30.33,0.937,1,High
plastic,6.65,5.09,8.32,43.57,0.8335,1,High
paper,16.05,2.36,8.12,15.35,0.6508,1,Medium
cardboard,16.59,3.51,9.32,15.12,0.6605,1,Medium
paper,6.17,2.94,8.73,16.15,0.6575,1,Medium
glass,3.76,0.45,0.0,0.0,0.4003,0,Low
paper,10.27,1.52,9.91,14.79,0.7556,1,High
organic,53.7,10.0,3.21,3.13,0.172,0,Unsuitable
paper,7.09,1.37,9.98,15.82,0.6732,1,Medium
metal,0.86,0.37,0.59,0.25,0.4206,0,Low
plastic,8.92,1.48,9.85,38.29,0.8779,1,High
cardboard,5.71,2.24,9.16,15.84,0.7949,1,High
organic,49.61,8.88,2.31,3.8,0.1891,0,Unsuitable
plastic,1.45,5.25,8.46,37.24,0.8514,1,High
organic,44.73,9.61,3.75,6.45,0.1943,0,Unsuitable
glass,3.08,2.7,0.0,0.0,0.374,0,Low
metal,3.03,1.3,0.62,0.22,0.4324,0,Low
plastic,9.6,4.92,9.2,41.99,0.8179,1,High
organic,59.16,4.8,2.01,7.83,0.1354,0,Unsuitable
paper,11.35,3.46,8.3,16.21,0.6968,1,Medium
metal,1.34,0.28,0.39,0.01,0.5251,1,Medium
organic,46.39,8.13,2.42,7.33,0.3177,0,Unsuitable
paper,7.71,0.05,9.15,14.03,0.7162,1,High
cardboard,24.71,0.5,8.24,17.55,0.7011,1,High
cardboard,10.34,3.23,7.82,15.01,0.5904,1,Medium
metal,4.55,1.93,0.58,0.1,0.4582,1,Low
cardboard,18.55,0.24,9.64,16.74,0.7411,1,High
plastic,1.22,4.21,9.59,36.18,0.8371,1,High
paper,25.46,1.03,8.02,15.51,0.5229,1,Medium
cardboard,5.51,3.67,7.93,16.98,0.7335,1,High
cardboard,18.39,2.1,8.56,16.13,0.6061,1,Medium
glass,3.94,1.27,0.0,0.0,0.4181,0,Low
organic,73.98,4.79,4.86,7.03,0.3853,0,Low
cardboard,21.9,1.47,7.96,16.53,0.6859,1,Medium
paper,22.08,0.69,8.31,16.57,0.6269,1,Medium
cardboard,18.21,3.55,8.78,17.47,0.5733,1,Medium
plastic,3.53,5.65,9.77,38.93,0.8552,1,High
metal,0.29,2.68,0.82,0.23,0.4324,0,Low
plastic,3.43,0.74,9.44,38.91,0.967,1,High
paper,29.48,0.61,8.38,14.98,0.6154,1,Medium
metal,2.66,1.82,0.16,0.08,0.4618,1,Low
organic,65.21,7.39,5.36,6.7,0.2087,0,Unsuitable
paper,20.63,2.25,8.18,14.52,0.5818,1,Medium
cardboard,13.48,1.56,7.1,15.83,0.6388,1,Medium
cardboard,16.56,3.22,8.63,17.56,0.6695,1,Medium
plastic,9.77,0.09,9.19,42.68,0.9889,1,High
cardboard,16.97,1.45,7.18,15.03,0.6552,1,Medium
plastic,6.11,3.16,8.91,41.07,0.8666,1,High
cardboard,10.42,3.11,9.73,16.32,0.6882,1,Medium
plastic,8.85,2.48,8.49,30.7,0.8368,1,High
glass,4.55,2.03,0.0,0.0,0.3447,0,Unsuitable
plastic,8.2,2.35,8.7,39.33,0.8865,1,High
plastic,9.77,3.1,8.77,36.32,0.7778,1,High
paper,23.07,1.9,8.15,15.47,0.6497,1,Medium
plastic,6.55,3.03,8.91,41.51,0.8559,1,High
paper,14.37,1.64,9.14,15.33,0.6661,1,Medium
organic,62.22,8.41,2.76,5.78,0.2035,0,Unsuitable
plastic,6.64,2.96,8.76,44.16,0.8652,1,High
plastic,5.26,5.7,8.85,42.61,0.8087,1,High
metal,1.69,0.32,0.5,0.1,0.4539,1,Low
paper,9.75,0.62,9.91,15.63,0.6824,1,Medium
paper,5.84,2.87,8.67,13.06,0.7008,1,High
plastic,6.2,4.47,8.99,39.89,0.8197,1,High
glass,2.0,0.49,0.0,0.0,0.3885,0,Low
organic,75.83,7.91,5.96,6.61,0.3239,0,Unsuitable
paper,6.99,1.11,8.25,13.81,0.7647,1,High
metal,4.98,1.11,0.71,0.2,0.4145,0,Low
cardboard,9.67,1.31,7.65,15.34,0.6507,1,Medium
plastic,9.06,0.51,8.65,38.46,0.8227,1,High
paper,6.09,3.24,8.69,15.72,0.7463,1,High
metal,2.19,1.05,0.23,0.25,0.4041,0,Low
organic,67.11,3.76,2.25,6.26,0.2669,0,Unsuitable
paper,25.05,4.69,9.87,14.7,0.5998,1,Medium
glass,3.14,1.87,0.0,0.0,0.333,0,Unsuitable
metal,0.77,0.37,0.93,0.01,0.5503,1,Medium
metal,1.8,1.58,0.7,0.16,0.4577,1,Low
organic,72.68,8.22,5.23,7.94,0.1734,0,Unsuitable
plastic,6.03,4.0,9.48,42.0,0.854,1,High
glass,1.75,1.96,0.0,0.0,0.4046,0,Low
cardboard,13.4,2.03,8.0,15.51,0.6422,1,Medium
glass,4.56,0.93,0.0,0.0,0.4945,1,Low
organic,67.87,7.51,4.83,7.53,0.2099,0,Unsuitable
metal,0.34,0.81,0.71,0.25,0.4746,1,Low
paper,14.57,3.87,9.17,15.86,0.5927,1,Medium
metal,4.45,1.79,0.97,0.06,0.4186,0,Low
plastic,4.77,1.73,9.1,35.84,0.8229,1,High
glass,1.78,0.53,0.0,0.0,0.4517,1,Low
organic,61.51,4.21,4.39,5.84,0.325,0,Unsuitable
metal,1.81,0.75,0.95,0.28,0.4444,0,Low
glass,0.98,2.36,0.0,0.0,0.4387,0,Low
glass,1.37,2.3,0.0,0.0,0.346,0,Unsuitable
glass,0.03,0.17,0.0,0.0,0.4156,0,Low
cardboard,15.37,3.19,9.51,17.2,0.6731,1,Medium
organic,69.68,8.2,5.61,5.99,0.2141,0,Unsuitable
organic,75.61,6.18,5.25,3.27,0.2206,0,Unsuitable
metal,0.37,2.93,0.01,0.36,0.3536,0,Low
metal,4.84,1.14,0.03,0.01,0.3977,0,Low
metal,4.9,1.01,0.48,0.05,0.4094,0,Low
organic,63.99,4.76,4.45,7.5,0.3015,0,Unsuitable
metal,1.05,0.37,0.17,0.31,0.3802,0,Low
paper,23.46,4.44,9.78,15.64,0.5733,1,Medium
plastic,2.32,5.77,9.92,36.11,0.8585,1,High
cardboard,15.2,1.17,9.94,15.66,0.6533,1,Medium
organic,45.0,5.68,5.43,3.7,0.3722,0,Low
plastic,4.07,1.02,8.02,34.37,0.7873,1,High
plastic,8.1,4.32,9.89,36.83,0.8635,1,High
plastic,6.65,1.3,8.61,38.48,0.8079,1,High
plastic,2.28,5.96,8.23,45.29,0.8562,1,High
plastic,8.39,4.77,8.42,40.12,0.8046,1,High
paper,11.79,0.91,7.98,14.92,0.5868,1,Medium
glass,4.18,2.31,0.0,0.0,0.3256,0,Unsuitable
paper,10.87,0.05,8.02,14.02,0.6331,1,Medium
plastic,0.62,1.62,8.09,40.26,0.8137,1,High
cardboard,7.95,3.83,8.75,17.04,0.6169,1,Medium
plastic,8.07,5.38,8.77,41.04,0.7036,1,High
paper,14.98,0.03,9.87,16.47,0.7632,1,High
metal,4.99,0.95,0.46,0.43,0.4754,1,Low
organic,66.62,3.91,3.69,4.55,0.2359,0,Unsuitable
plastic,1.36,1.4,9.42,32.5,0.8763,1,High
plastic,7.65,0.57,9.7,41.58,0.9795,1,High
glass,3.82,2.18,0.0,0.0,0.4666,1,Low
cardboard,16.57,3.23,9.23,17.57,0.7323,1,High
organic,47.72,4.16,4.35,5.25,0.3647,0,Low
plastic,9.32,2.5,9.44,33.15,0.8286,1,High
glass,0.11,1.51,0.0,0.0,0.4039,0,Low
organic,40.23,3.81,5.89,7.61,0.3879,0,Low
plastic,2.59,2.62,9.38,35.71,0.7699,1,High
cardboard,10.21,1.3,7.49,16.98,0.6514,1,Medium
plastic,2.71,3.32,8.99,42.74,0.8396,1,High
metal,4.42,2.11,0.69,0.19,0.3341,0,Unsuitable
cardboard,5.11,3.93,8.82,16.21,0.642,1,Medium
cardboard,8.47,2.49,8.54,17.36,0.6536,1,Medium
cardboard,17.03,3.26,7.2,17.07,0.5409,1,Medium
organic,47.83,4.5,2.79,5.62,0.3163,0,Unsuitable
paper,21.48,0.53,7.08,14.28,0.6486,1,Medium
glass,1.51,0.67,0.0,0.0,0.5625,1,Medium
organic,71.28,5.55,4.5,5.41,0.213,0,Unsuitable
organic,51.6,7.93,5.28,5.33,0.1682,0,Unsuitable
metal,4.4,0.59,0.79,0.3,0.4242,0,Low
metal,4.27,1.83,0.54,0.02,0.3653,0,Low
metal,4.54,2.14,0.05,0.44,0.4413,0,Low
organic,40.9,6.94,2.22,4.6,0.2607,0,Unsuitable
metal,4.56,1.07,0.86,0.46,0.4515,1,Low
organic,68.39,8.3,3.57,6.28,0.2515,0,Unsuitable
paper,23.49,3.59,7.26,13.63,0.5467,1,Medium
cardboard,23.27,3.19,7.35,16.72,0.6372,1,Medium
organic,54.74,4.87,5.32,3.72,0.3259,0,Unsuitable
metal,3.44,0.24,0.91,0.32,0.3728,0,Low
organic,66.39,9.15,3.91,5.66,0.1406,0,Unsuitable
cardboard,20.74,0.51,8.18,16.16,0.6405,1,Medium
cardboard,13.05,2.47,7.93,15.52,0.8012,1,High
cardboard,14.17,1.31,7.14,15.11,0.6268,1,Medium
organic,77.21,8.11,3.4,7.84,0.1958,0,Unsuitable
cardboard,13.53,0.85,9.66,16.08,0.7488,1,High
paper,14.73,4.51,8.93,14.95,0.6016,1,Medium
glass,2.73,0.86,0.0,0.0,0.4575,1,Low
organic,61.47,5.38,3.91,4.32,0.2573,0,Unsuitable
cardboard,8.15,3.81,8.73,16.47,0.6427,1,Medium
cardboard,19.17,0.57,7.83,16.97,0.6424,1,Medium
glass,4.49,2.47,0.0,0.0,0.3413,0,Unsuitable
glass,3.92,2.74,0.0,0.0,0.3345,0,Unsuitable
organic,72.91,6.84,2.58,3.4,0.2045,0,Unsuitable
metal,2.13,1.05,0.36,0.19,0.4047,0,Low
paper,7.98,3.95,8.65,13.51,0.6069,1,Medium
cardboard,9.48,1.04,7.04,15.65,0.5855,1,Medium
organic,75.93,5.73,3.28,8.0,0.2308,0,Unsuitable
organic,61.49,4.78,3.29,5.58,0.2309,0,Unsuitable
glass,4.8,1.73,0.0,0.0,0.3836,0,Low
cardboard,19.75,0.38,8.78,16.97,0.7441,1,High
plastic,8.78,2.77,8.19,31.69,0.7251,1,High
paper,12.07,2.48,9.25,13.75,0.5865,1,Medium
metal,3.0,2.79,0.83,0.32,0.3557,0,Low
cardboard,7.68,0.04,8.3,15.27,0.6715,1,Medium
cardboard,23.33,3.52,9.46,17.14,0.6052,1,Medium
paper,6.21,3.27,8.93,14.48,0.6237,1,Medium
plastic,2.4,1.88,8.84,39.65,0.8102,1,High
plastic,5.38,4.39,9.61,31.82,0.7671,1,High
metal,2.86,0.12,0.91,0.48,0.4626,1,Low
plastic,2.13,1.08,9.56,39.57,0.8837,1,High
organic,54.14,6.23,3.55,5.61,0.2271,0,Unsuitable
glass,1.37,1.27,0.0,0.0,0.4238,0,Low
paper,12.34,3.95,7.79,13.08,0.5658,1,Medium
glass,0.11,2.84,0.0,0.0,0.3563,0,Low
cardboard,19.88,1.33,8.51,16.99,0.6365,1,Medium
organic,60.06,8.13,2.75,5.22,0.1807,0,Unsuitable
metal,4.82,2.54,0.62,0.29,0.4681,1,Low
glass,2.73,0.18,0.0,0.0,0.4411,0,Low
cardboard,18.45,1.45,7.06,15.18,0.7048,1,High
organic,58.48,4.17,2.76,4.15,0.304,0,Unsuitable
glass,1.91,0.52,0.0,0.0,0.4162,0,Low
glass,0.23,1.0,0.0,0.0,0.3231,0,Unsuitable
cardboard,10.36,3.79,8.15,16.95,0.5667,1,Medium
cardboard,16.02,1.22,8.6,15.16,0.7246,1,High
glass,4.42,2.01,0.0,0.0,0.4283,0,Low
cardboard,23.39,1.2,7.96,17.56,0.6356,1,Medium
organic,51.73,3.84,3.76,4.48,0.3173,0,Unsuitable
organic,41.47,7.44,5.62,7.88,0.3361,0,Unsuitable
cardboard,6.51,1.44,7.03,17.94,0.6725,1,Medium
organic,41.12,3.13,3.47,4.29,0.2389,0,Unsuitable
metal,3.95,1.66,0.38,0.07,0.4898,1,Low
cardboard,17.36,1.76,8.11,17.72,0.5631,1,Medium
cardboard,17.32,3.55,7.9,17.11,0.5894,1,Medium
glass,3.0,2.99,0.0,0.0,0.3431,0,Unsuitable
plastic,9.86,4.67,8.13,35.16,0.7659,1,High
organic,70.73,8.2,4.67,5.08,0.1888,0,Unsuitable
organic,51.75,7.79,4.9,7.22,0.2364,0,Unsuitable
glass,3.71,0.32,0.0,0.0,0.4907,1,Low
paper,27.55,0.24,9.51,15.04,0.7182,1,High
organic,75.48,7.04,2.47,3.01,0.0288,0,Unsuitable
glass,2.86,1.12,0.0,0.0,0.4922,1,Low
